centre_id,centre_name,cleaned_postcode_candidate,cleaned_address_candidate,query_primary,query_secondary,query_tertiary,lookup_confidence,lookup_notes,lat,lng,resolution_status
newbury_hambridge_lane,Newbury Hambridge Lane,,,Newbury Hambridge Lane driving test centre UK,,Newbury Hambridge Lane test centre UK,low,"no_postcode_found,route_reference_only",,,pending
newtown,Newtown,,,Newtown driving test centre UK,,Newtown test centre UK,low,"no_postcode_found,route_reference_only",,,pending
northwich,Northwich,,,Northwich driving test centre UK,,Northwich test centre UK,low,"postcode_invalid,route_reference_only",,,pending
oban,Oban,,,Oban driving test centre UK,,Oban test centre UK,low,"no_address_found,no_postcode_found",,,pending
paisley,Paisley,,,Paisley driving test centre UK,,Paisley test centre UK,low,"no_address_found,no_postcode_found",,,pending
peebles,Peebles,,,Peebles driving test centre UK,,Peebles test centre UK,low,"no_address_found,no_postcode_found",,,pending
pitlochry,Pitlochry,,,Pitlochry driving test centre UK,,Pitlochry test centre UK,low,"no_address_found,no_postcode_found",,,pending
rhyl,Rhyl,,,Rhyl driving test centre UK,,Rhyl test centre UK,low,"no_address_found,no_postcode_found",,,pending
rothesay,Rothesay,,,Rothesay driving test centre UK,,Rothesay test centre UK,low,"no_address_found,no_postcode_found",,,pending
salisbury,Salisbury,,,Salisbury driving test centre UK,,Salisbury test centre UK,low,"no_postcode_found,route_reference_only",,,pending
stranraer,Stranraer,,,Stranraer driving test centre UK,,Stranraer test centre UK,low,"no_address_found,no_postcode_found",,,pending
trowbridge,Trowbridge,,,Trowbridge driving test centre UK,,Trowbridge test centre UK,low,"no_postcode_found,route_reference_only",,,pending
ullapool,Ullapool,,,Ullapool driving test centre UK,,Ullapool test centre UK,low,"no_address_found,no_postcode_found",,,pending
wallasey,Wallasey,,,Wallasey driving test centre UK,,Wallasey test centre UK,low,"no_address_found,no_postcode_found",,,pending
weston_super_mare,Weston-super-Mare,,,Weston-super-Mare driving test centre UK,,Weston-super-Mare test centre UK,low,"no_address_found,no_postcode_found",,,pending
whitby,Whitby,,,Whitby driving test centre UK,,Whitby test centre UK,low,"no_postcode_found,route_reference_only",,,pending
wick,Wick,,,Wick driving test centre UK,,Wick test centre UK,low,"no_postcode_found,route_reference_only",,,pending
