centre_id,centre_name,cleaned_postcode_candidate,cleaned_address_candidate,query_primary,query_secondary,query_tertiary,lookup_confidence,lookup_notes,lat,lng,resolution_status
durham,Durham,,Mill Lane / Shincliffe Lane,Durham driving test centre UK,Mill Lane / Shincliffe Lane Durham UK,Durham test centre UK,medium,"address_incomplete,no_postcode_found",54.7662651,-1.5461603,resolved_secondary
eastbourne,Eastbourne,,The Avenue / Upper Ave,Eastbourne driving test centre UK,The Avenue / Upper Ave Eastbourne UK,Eastbourne test centre UK,medium,"address_incomplete,no_postcode_found",50.7824931,0.3096792,resolved_primary
edinburgh_currie,Edinburgh Currie,,Baberton Mains Drive,Edinburgh Currie driving test centre UK,Baberton Mains Drive Edinburgh Currie UK,Edinburgh Currie test centre UK,medium,"address_incomplete,no_postcode_found",55.8999009,-3.3078134,resolved_primary
elgin,Elgin,,Wards Rd / Wittet Drive,Elgin driving test centre UK,Wards Rd / Wittet Drive Elgin UK,Elgin test centre UK,medium,"address_incomplete,no_postcode_found",,,unresolved
elswick,Elswick,,William Armstrong Drive,Elswick driving test centre UK,William Armstrong Drive Elswick UK,Elswick test centre UK,medium,"address_incomplete,no_postcode_found",54.9646227,-1.6565155,resolved_secondary
exeter,Exeter,,Lane / Station Rd,Exeter driving test centre UK,Lane / Station Rd Exeter UK,Exeter test centre UK,medium,"address_incomplete,no_postcode_found",50.7560635,-3.4357260,resolved_secondary
folkestone,Folkestone,,Castle Hill Avenue,Folkestone driving test centre UK,Castle Hill Avenue Folkestone UK,Folkestone test centre UK,medium,"address_incomplete,no_postcode_found",51.0796276,1.1706318,resolved_secondary
fraserburgh,Fraserburgh,,St Andrews Drive,Fraserburgh driving test centre UK,St Andrews Drive Fraserburgh UK,Fraserburgh test centre UK,medium,"address_incomplete,no_postcode_found",57.6893570,-2.0243879,resolved_secondary
gateshead,Gateshead,,Harlow Green Lane,Gateshead driving test centre UK,Harlow Green Lane Gateshead UK,Gateshead test centre UK,medium,"address_incomplete,no_postcode_found",54.9221701,-1.5906150,resolved_secondary
gillingham,Gillingham,,Hempstead Valley Drive,Gillingham driving test centre UK,Hempstead Valley Drive Gillingham UK,Gillingham test centre UK,medium,"address_incomplete,no_postcode_found",51.3408551,0.5706932,resolved_secondary
