centre_id,centre_name,cleaned_postcode_candidate,cleaned_address_candidate,query_primary,query_secondary,query_tertiary,lookup_confidence,lookup_notes,lat,lng,resolution_status
northallerton,Northallerton,,Mill Hill Lane,Northallerton driving test centre UK,Mill Hill Lane Northallerton UK,Northallerton test centre UK,medium,"address_incomplete,no_postcode_found",54.3316610,-1.4257695,resolved_secondary
northampton,Northampton,,St Peters Way,Northampton driving test centre UK,St Peters Way Northampton UK,Northampton test centre UK,medium,"address_incomplete,no_postcode_found",52.2353801,-0.9021168,resolved_secondary
norwich_jupiter_road,Norwich Jupiter Road,,Woodside Rd / Blue Boar Lane,Norwich Jupiter Road driving test centre UK,Woodside Rd / Blue Boar Lane Norwich Jupiter Road UK,Norwich Jupiter Road test centre UK,medium,"address_incomplete,no_postcode_found",,,unresolved
norwich_peachman_way,Norwich Peachman Way,,Woodside Rd / Blue Boar Lane,Norwich Peachman Way driving test centre UK,Woodside Rd / Blue Boar Lane Norwich Peachman Way UK,Norwich Peachman Way test centre UK,medium,"address_incomplete,no_postcode_found",,,unresolved
nottingham_colwick,Nottingham Colwick,,St Lukes Way,Nottingham Colwick driving test centre UK,St Lukes Way Nottingham Colwick UK,Nottingham Colwick test centre UK,medium,"address_incomplete,no_postcode_found",,,unresolved
nuneaton,Nuneaton,,St Davids Way,Nuneaton driving test centre UK,St Davids Way Nuneaton UK,Nuneaton test centre UK,medium,"address_incomplete,no_postcode_found",52.4976369,-1.4768705,resolved_secondary
oswestry,Oswestry,,Chestnut Ave / Cherry Tree Drive,Oswestry driving test centre UK,Chestnut Ave / Cherry Tree Drive Oswestry UK,Oswestry test centre UK,medium,"address_incomplete,no_postcode_found",,,unresolved
oxford_cowley,Oxford Cowley,,Cricket Rd / Rymers Lane,Oxford Cowley driving test centre UK,Cricket Rd / Rymers Lane Oxford Cowley UK,Oxford Cowley test centre UK,medium,"address_incomplete,no_postcode_found",51.7409356,-1.2023936,resolved_primary
pembroke_dock,Pembroke Dock,,Buttermilk Lane / Myletts Hill,Pembroke Dock driving test centre UK,Buttermilk Lane / Myletts Hill Pembroke Dock UK,Pembroke Dock test centre UK,medium,"address_incomplete,no_postcode_found",,,unresolved
peterborough,Peterborough,,Paston Park Way,Peterborough driving test centre UK,Paston Park Way Peterborough UK,Peterborough test centre UK,medium,"address_incomplete,no_postcode_found",,,unresolved
