centre_id,centre_name,cleaned_postcode_candidate,cleaned_address_candidate,query_primary,query_secondary,query_tertiary,lookup_confidence,lookup_notes,lat,lng,resolution_status
bury_st_edmunds,Bury St Edmunds,,Follow into one way system,Bury St Edmunds driving test centre UK,Follow into one way system Bury St Edmunds UK,Bury St Edmunds test centre UK,medium,"address_incomplete,postcode_invalid",,,pending
buxton,Buxton,,Green Lane Into,Buxton driving test centre UK,Green Lane Into Buxton UK,Buxton test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
camborne,Camborne,,Dudnance Lane / Station Rd,Camborne driving test centre UK,Dudnance Lane / Station Rd Camborne UK,Camborne test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
canterbury,Canterbury,,Oaten Hill / Upper Chantry Lane,Canterbury driving test centre UK,Oaten Hill / Upper Chantry Lane Canterbury UK,Canterbury test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
carlisle,Carlisle,,Hopes Hill Drive,Carlisle driving test centre UK,Hopes Hill Drive Carlisle UK,Carlisle test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
carmarthen,Carmarthen,,Richmond Terrace / Oak Lane,Carmarthen driving test centre UK,Richmond Terrace / Oak Lane Carmarthen UK,Carmarthen test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
castle_douglas,Castle Douglas,,Gordon Drive / Brown Crescent,Castle Douglas driving test centre UK,Gordon Drive / Brown Crescent Castle Douglas UK,Castle Douglas test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
cheetham_hill_manchester,Cheetham Hill Manchester,,Ashtree Rd / Crumpsall Lane,Cheetham Hill Manchester driving test centre UK,Ashtree Rd / Crumpsall Lane Cheetham Hill Manchester UK,Cheetham Hill Manchester test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
chelmsford,Chelmsford,,Chelmer Village Way,Chelmsford driving test centre UK,Chelmer Village Way Chelmsford UK,Chelmsford test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
cheltenham,Cheltenham,,Quat Goose Lane,Cheltenham driving test centre UK,Quat Goose Lane Cheltenham UK,Cheltenham test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
