centre_id,centre_name,cleaned_postcode_candidate,cleaned_address_candidate,query_primary,query_secondary,query_tertiary,lookup_confidence,lookup_notes,lat,lng,resolution_status
barnet_london,Barnet London,,Barnet Gate Lane / Mays Lane,Barnet London driving test centre UK,Barnet Gate Lane / Mays Lane Barnet London UK,Barnet London test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
barnstaple,Barnstaple,,Westaway Hill / Old School Rd,Barnstaple driving test centre UK,Westaway Hill / Old School Rd Barnstaple UK,Barnstaple test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
barrow_in_furness,Barrow In Furness,,James Freel Close,Barrow In Furness driving test centre UK,James Freel Close Barrow In Furness UK,Barrow In Furness test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
basingstoke,Basingstoke,,Hatch Warren Way,Basingstoke driving test centre UK,Hatch Warren Way Basingstoke UK,Basingstoke test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
bedford,Bedford,,Barkers Lane / Goldington Rd,Bedford driving test centre UK,Barkers Lane / Goldington Rd Bedford UK,Bedford test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
belvedere_london,Belvedere London,,Harrow Manor Way,Belvedere London driving test centre UK,Harrow Manor Way Belvedere London UK,Belvedere London test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
birmingham_garretts_green,Birmingham Garretts Green,,Garretts Green Lane,Birmingham Garretts Green driving test centre UK,Garretts Green Lane Birmingham Garretts Green UK,Birmingham Garretts Green test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
birmingham_kings_heath,Birmingham Kings Heath,,Highters Heath Lane,Birmingham Kings Heath driving test centre UK,Highters Heath Lane Birmingham Kings Heath UK,Birmingham Kings Heath test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
birmingham_kingstanding,Birmingham Kingstanding,,Doe Bank Lane,Birmingham Kingstanding driving test centre UK,Doe Bank Lane Birmingham Kingstanding UK,Birmingham Kingstanding test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
birmingham_shirley,Birmingham Shirley,,Dog Kennel Lane,Birmingham Shirley driving test centre UK,Dog Kennel Lane Birmingham Shirley UK,Birmingham Shirley test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
