centre_id,centre_name,cleaned_postcode_candidate,cleaned_address_candidate,query_primary,query_secondary,query_tertiary,lookup_confidence,lookup_notes,lat,lng,resolution_status
bradford_heaton,Bradford Heaton,,Walker Drive / Blythe Ave,Bradford Heaton driving test centre UK,Walker Drive / Blythe Ave Bradford Heaton UK,Bradford Heaton test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
bradford_thornbury,Bradford Thornbury,,Broadway – becomes Horsforth New,Bradford Thornbury driving test centre UK,Broadway – becomes Horsforth New Bradford Thornbury UK,Bradford Thornbury test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
brecon,Brecon,,Coryton Close / Bryn De Winton,Brecon driving test centre UK,Coryton Close / Bryn De Winton Brecon UK,Brecon test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
bredbury_manchester,Bredbury Manchester,,Ashton Road - Start Independent Driving,Bredbury Manchester driving test centre UK,Ashton Road - Start Independent Driving Bredbury Manchester UK,Bredbury Manchester test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
brentwood_london,Brentwood London,,Nags Head Lane,Brentwood London driving test centre UK,Nags Head Lane Brentwood London UK,Brentwood London test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
bridgend,Bridgend,,Cefn Glas Lane,Bridgend driving test centre UK,Cefn Glas Lane Bridgend UK,Bridgend test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
bridlington,Bridlington,,South Marine Drive,Bridlington driving test centre UK,South Marine Drive Bridlington UK,Bridlington test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
bristol_brislington,Bristol Brislington,,Kensington Park Rd / Lodway Rd,Bristol Brislington driving test centre UK,Kensington Park Rd / Lodway Rd Bristol Brislington UK,Bristol Brislington test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
burgess_hill,Burgess Hill,,Queen Elizabeth Avenue,Burgess Hill driving test centre UK,Queen Elizabeth Avenue Burgess Hill UK,Burgess Hill test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
burton_on_trent,Burton on Trent,,Bosworth Drive / Charnwood Rd,Burton on Trent driving test centre UK,Bosworth Drive / Charnwood Rd Burton on Trent UK,Burton on Trent test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
