centre_id,centre_name,cleaned_postcode_candidate,cleaned_address_candidate,query_primary,query_secondary,query_tertiary,lookup_confidence,lookup_notes,lat,lng,resolution_status
cumnock,Cumnock,,Industrial Estate Rd,Cumnock driving test centre UK,Industrial Estate Rd Cumnock UK,Cumnock test centre UK,high,no_postcode_found,,,pending
lochgilphead,Lochgilphead,,Kilmory Industrial Estate,Lochgilphead driving test centre UK,Kilmory Industrial Estate Lochgilphead UK,Lochgilphead test centre UK,high,no_postcode_found,,,pending
monmouth,Monmouth,,Wonastow Industrial Estate,Monmouth driving test centre UK,Wonastow Industrial Estate Monmouth UK,Monmouth test centre UK,high,no_postcode_found,,,pending
perth_arran_road,Perth Arran Road,,Inveralmond Industrial Estate,Perth Arran Road driving test centre UK,Inveralmond Industrial Estate Perth Arran Road UK,Perth Arran Road test centre UK,high,no_postcode_found,,,pending
peterhead,Peterhead,,Dales Industrial Estate,Peterhead driving test centre UK,Dales Industrial Estate Peterhead UK,Peterhead test centre UK,high,no_postcode_found,,,pending
