centre_id,centre_name,cleaned_postcode_candidate,cleaned_address_candidate,query_primary,query_secondary,query_tertiary,lookup_confidence,lookup_notes,lat,lng,resolution_status
birmingham_south_yardley,Birmingham South Yardley,,The Avenue / Lincoln Rd,Birmingham South Yardley driving test centre UK,The Avenue / Lincoln Rd Birmingham South Yardley UK,Birmingham South Yardley test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
birmingham_sutton_coldfield,Birmingham Sutton Coldfield,,Summer Rd / Gravelly Lane,Birmingham Sutton Coldfield driving test centre UK,Summer Rd / Gravelly Lane Birmingham Sutton Coldfield UK,Birmingham Sutton Coldfield test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
bishops_stortford,Bishops Stortford,,The Street / Church Rd,Bishops Stortford driving test centre UK,The Street / Church Rd Bishops Stortford UK,Bishops Stortford test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
blackburn_with_darwen,Blackburn with Darwen,,Barbara Castle Way,Blackburn with Darwen driving test centre UK,Barbara Castle Way Blackburn with Darwen UK,Blackburn with Darwen test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
blackpool,Blackpool,,Newton Drive / Highcross Rd,Blackpool driving test centre UK,Newton Drive / Highcross Rd Blackpool UK,Blackpool test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
bletchley,Bletchley,,Queensway / Brooklands Rd,Bletchley driving test centre UK,Queensway / Brooklands Rd Bletchley UK,Bletchley test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
blyth,Blyth,,St Ronans Drive,Blyth driving test centre UK,St Ronans Drive Blyth UK,Blyth test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
bodmin,Bodmin,,Plas Newydd Avenue,Bodmin driving test centre UK,Plas Newydd Avenue Bodmin UK,Bodmin test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
bolton_manchester,Bolton Manchester,,Deane Church Lane,Bolton Manchester driving test centre UK,Deane Church Lane Bolton Manchester UK,Bolton Manchester test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
boston,Boston,,John Adams Way,Boston driving test centre UK,John Adams Way Boston UK,Boston test centre UK,medium,"address_incomplete,no_postcode_found",,,pending
